Ville,Type,Surface,NbPieces,NbChambres,NbSdb,DPE,Prix
L'Haÿ-les-Roses,Appartement,73 ,4,2,1,-,225000
Évry,Appartement,31 ,1,-,1,-,117000
Thiais,Appartement,90 ,5,3,1,-,233000
Paris 20ème,Appartement,73 ,4,3,1,-,577000
Taverny,Appartement,46 ,2,1,1,-,165000
Bagneux,Appartement,74 ,3,2,1,-,265000
Sevran,Appartement,52 ,3,2,1,-,160000
Évry,Appartement,24 ,1,-,1,-,115000
Drancy,Appartement,318 ,-,-,-,-,900000
Épinay-sur-Seine,Appartement,69 ,4,3,1,-,158000
Viry-Châtillon,Appartement,76 ,4,3,1,-,259000
Vieux-Champagne,Maison,100 ,4,2,1,-,240000
Paris 8ème,Appartement,106 ,3,-,-,-,75008
Nanterre,Appartement,84 ,5,3,1,-,334000
Villiers-le-Bel,Appartement,38 ,2,-,-,-,154000
Villiers-le-Bel,Appartement,33 ,1,-,-,-,149000
Périgny,Maison,120 ,6,5,1,-,345000
Vincennes,Appartement,79 ,3,2,1,-,740000
Vinantes,Maison,80 ,4,3,1,-,240000
Pontoise,Maison,60 ,4,-,-,-,199000
Paris 8ème,Appartement,40 ,2,1,1,-,660000
Aubervilliers,Appartement,36 ,2,1,1,-,119000
Paris 18ème,Appartement,100 ,100,4,1,-,685000
Paris 18ème,Appartement,100 ,100,4,1,-,685000
Mours,Maison,137 ,6,4,3,-,337000
Serris,Appartement,65 ,3,2,1,-,235000
La Courneuve,Appartement,35 ,35,2,1,-,135000
Villejust,Appartement,72 ,4,2,1,-,239000
Brou-sur-Chantereine,Appartement,76 ,4,3,1,-,189000
Vitry-sur-Seine,Appartement,53 ,3,2,1,-,185000
Vitry-sur-Seine,Appartement,53 ,3,2,1,-,185000
Saint-Ouen-en-Brie,Maison,50 ,2,1,1,-,135000
Puteaux,Appartement,40 ,2,2,1,-,280000
Rosny-sous-Bois,Maison,134 ,5,3,2,-,450000
Rosny-sous-Bois,Appartement,101 ,5,3,2,-,307000
Grisy-Suisnes,Appartement,55 ,55,2,1,-,155000
Asnières-sur-Seine,Appartement,101 ,5,4,1,-,405000
